YEAR,MONTH_NUM,FLT_DATE,APT_ICAO,APT_NAME,IFR_Departures,ATC_Pre_Delay_Min
2018,12,2018-12-08,LIPE,Bologna,76,34.0
2018,12,2018-12-09,LIPE,Bologna,81,21.0
2018,12,2018-12-10,LIPE,Bologna,98,32.0
2018,12,2018-12-11,LIPE,Bologna,89,30.0
2018,12,2018-12-12,LIPE,Bologna,97,50.0
2018,12,2018-12-13,LIPE,Bologna,94,57.0
2018,12,2018-12-14,LIPE,Bologna,101,49.0
2018,12,2018-12-15,LIPE,Bologna,84,55.0
2018,12,2018-12-16,LIPE,Bologna,76,20.0
2018,12,2018-12-17,LIPE,Bologna,108,15.0
2018,12,2018-12-18,LIPE,Bologna,96,68.0
2018,12,2018-12-19,LIPE,Bologna,95,60.0
2018,12,2018-12-20,LIPE,Bologna,109,51.0
2018,12,2018-12-21,LIPE,Bologna,111,97.0
2018,12,2018-12-22,LIPE,Bologna,95,31.0
2018,12,2018-12-23,LIPE,Bologna,88,40.0
2018,12,2018-12-24,LIPE,Bologna,67,24.0
2018,12,2018-12-25,LIPE,Bologna,32,3.0
2018,12,2018-12-26,LIPE,Bologna,72,33.0
2018,12,2018-12-27,LIPE,Bologna,96,67.0
2018,12,2018-12-28,LIPE,Bologna,99,41.0
2018,12,2018-12-29,LIPE,Bologna,88,28.0
2018,12,2018-12-30,LIPE,Bologna,87,44.0
2018,12,2018-12-31,LIPE,Bologna,68,29.0
2019,1,2019-01-01,LIPE,Bologna,68,25.0
2019,1,2019-01-02,LIPE,Bologna,95,52.0
2019,1,2019-01-03,LIPE,Bologna,95,59.0
2019,1,2019-01-04,LIPE,Bologna,96,42.0
2019,1,2019-01-05,LIPE,Bologna,82,52.0
2019,1,2019-01-06,LIPE,Bologna,87,34.0
2019,1,2019-01-07,LIPE,Bologna,100,34.0
2019,1,2019-01-08,LIPE,Bologna,86,80.0
2019,1,2019-01-09,LIPE,Bologna,97,24.0
2019,1,2019-01-10,LIPE,Bologna,93,27.0
2019,1,2019-01-11,LIPE,Bologna,85,300.0
2019,1,2019-01-12,LIPE,Bologna,79,78.0
2019,1,2019-01-13,LIPE,Bologna,82,23.0
2019,1,2019-01-14,LIPE,Bologna,97,41.0
2019,1,2019-01-15,LIPE,Bologna,81,25.0
2019,1,2019-01-16,LIPE,Bologna,90,32.0
2019,1,2019-01-17,LIPE,Bologna,89,58.0
2019,1,2019-01-18,LIPE,Bologna,106,48.0
2019,1,2019-01-19,LIPE,Bologna,81,35.0
2019,1,2019-01-20,LIPE,Bologna,88,24.0
2019,1,2019-01-21,LIPE,Bologna,100,41.0
2019,1,2019-01-22,LIPE,Bologna,89,212.0
2019,1,2019-01-23,LIPE,Bologna,91,51.0
2019,1,2019-01-24,LIPE,Bologna,92,47.0
2019,1,2019-01-25,LIPE,Bologna,98,30.0
2019,1,2019-01-26,LIPE,Bologna,79,11.0
2019,1,2019-01-27,LIPE,Bologna,88,0.0
2019,1,2019-01-28,LIPE,Bologna,105,46.0
2019,1,2019-01-29,LIPE,Bologna,86,22.0
2019,1,2019-01-30,LIPE,Bologna,78,29.0
2019,1,2019-01-31,LIPE,Bologna,99,23.0
2019,2,2019-02-01,LIPE,Bologna,100,15.0
2019,2,2019-02-02,LIPE,Bologna,75,4.0
2019,2,2019-02-03,LIPE,Bologna,85,21.0
2019,2,2019-02-04,LIPE,Bologna,103,47.0
2019,2,2019-02-05,LIPE,Bologna,89,25.0
2019,2,2019-02-06,LIPE,Bologna,94,39.0
2019,2,2019-02-07,LIPE,Bologna,101,14.0
2019,2,2019-02-08,LIPE,Bologna,108,18.0
2019,2,2019-02-09,LIPE,Bologna,82,12.0
2019,2,2019-02-10,LIPE,Bologna,83,23.0
2019,2,2019-02-11,LIPE,Bologna,103,30.0
2019,2,2019-02-12,LIPE,Bologna,75,734.0
2019,2,2019-02-13,LIPE,Bologna,91,13.0
2019,2,2019-02-14,LIPE,Bologna,100,18.0
2019,2,2019-02-15,LIPE,Bologna,114,46.0
2019,2,2019-02-16,LIPE,Bologna,84,17.0
2019,2,2019-02-17,LIPE,Bologna,82,23.0
2019,2,2019-02-18,LIPE,Bologna,106,54.0
2019,2,2019-02-19,LIPE,Bologna,93,10.0
2019,2,2019-02-20,LIPE,Bologna,95,81.0
2019,2,2019-02-21,LIPE,Bologna,93,33.0
2019,2,2019-02-22,LIPE,Bologna,100,28.0
2019,2,2019-02-23,LIPE,Bologna,90,44.0
2019,2,2019-02-24,LIPE,Bologna,95,16.0
2019,2,2019-02-25,LIPE,Bologna,101,40.0
2019,2,2019-02-26,LIPE,Bologna,95,42.0
2019,2,2019-02-27,LIPE,Bologna,97,11.0
2019,2,2019-02-28,LIPE,Bologna,94,47.0
2019,3,2019-03-01,LIPE,Bologna,105,39.0
2019,3,2019-03-02,LIPE,Bologna,97,23.0
2019,3,2019-03-03,LIPE,Bologna,89,29.0
2019,3,2019-03-04,LIPE,Bologna,108,31.0
2019,3,2019-03-05,LIPE,Bologna,95,31.0
2019,3,2019-03-06,LIPE,Bologna,95,25.0
2019,3,2019-03-07,LIPE,Bologna,105,54.0
2019,3,2019-03-08,LIPE,Bologna,101,5.0
2019,3,2019-03-09,LIPE,Bologna,89,22.0
2019,3,2019-03-10,LIPE,Bologna,91,13.0
2019,3,2019-03-11,LIPE,Bologna,105,37.0
2019,3,2019-03-12,LIPE,Bologna,93,20.0
2019,3,2019-03-13,LIPE,Bologna,97,45.0
2019,3,2019-03-14,LIPE,Bologna,103,111.0
2019,3,2019-03-15,LIPE,Bologna,108,33.0
2019,3,2019-03-16,LIPE,Bologna,92,9.0
2019,3,2019-03-17,LIPE,Bologna,90,35.0
2019,3,2019-03-18,LIPE,Bologna,108,38.0
2019,3,2019-03-19,LIPE,Bologna,97,7.0
2019,3,2019-03-20,LIPE,Bologna,103,6.0
2019,3,2019-03-21,LIPE,Bologna,98,89.0
2019,3,2019-03-22,LIPE,Bologna,106,7.0
2019,3,2019-03-23,LIPE,Bologna,85,4.0
2019,3,2019-03-24,LIPE,Bologna,90,45.0
2019,3,2019-03-25,LIPE,Bologna,95,45.0
2019,3,2019-03-26,LIPE,Bologna,100,26.0
2019,3,2019-03-27,LIPE,Bologna,102,26.0
2019,3,2019-03-28,LIPE,Bologna,101,47.0
2019,3,2019-03-29,LIPE,Bologna,103,113.0
2019,3,2019-03-30,LIPE,Bologna,84,26.0
2019,3,2019-03-31,LIPE,Bologna,103,14.0
2019,4,2019-04-01,LIPE,Bologna,113,43.0
2019,4,2019-04-02,LIPE,Bologna,108,31.0
2019,4,2019-04-03,LIPE,Bologna,105,26.0
2019,4,2019-04-04,LIPE,Bologna,115,20.0
2019,4,2019-04-05,LIPE,Bologna,116,75.0
2019,4,2019-04-06,LIPE,Bologna,96,20.0
2019,4,2019-04-07,LIPE,Bologna,101,16.0
2019,4,2019-04-08,LIPE,Bologna,111,49.0
2019,4,2019-04-09,LIPE,Bologna,110,11.0
2019,4,2019-04-10,LIPE,Bologna,108,9.0
2019,4,2019-04-11,LIPE,Bologna,111,22.0
2019,4,2019-04-12,LIPE,Bologna,110,23.0
2019,4,2019-04-13,LIPE,Bologna,103,72.0
2019,4,2019-04-14,LIPE,Bologna,108,174.0
2019,4,2019-04-15,LIPE,Bologna,108,22.0
2019,4,2019-04-16,LIPE,Bologna,113,9.0
2019,4,2019-04-17,LIPE,Bologna,108,25.0
2019,4,2019-04-18,LIPE,Bologna,115,71.0
2019,4,2019-04-19,LIPE,Bologna,120,38.0
2019,4,2019-04-20,LIPE,Bologna,100,59.0
2019,4,2019-04-21,LIPE,Bologna,97,74.0
2019,4,2019-04-22,LIPE,Bologna,104,38.0
2019,4,2019-04-23,LIPE,Bologna,115,19.0
2019,4,2019-04-24,LIPE,Bologna,110,53.0
2019,4,2019-04-25,LIPE,Bologna,107,51.0
2019,4,2019-04-26,LIPE,Bologna,116,74.0
2019,4,2019-04-27,LIPE,Bologna,99,24.0
2019,4,2019-04-28,LIPE,Bologna,106,125.0
2019,4,2019-04-29,LIPE,Bologna,111,139.0
2019,4,2019-04-30,LIPE,Bologna,111,122.0
2019,5,2019-05-01,LIPE,Bologna,105,38.0
2019,5,2019-05-02,LIPE,Bologna,116,47.0
2019,5,2019-05-03,LIPE,Bologna,117,98.0
2019,5,2019-05-04,LIPE,Bologna,104,5.0
2019,5,2019-05-05,LIPE,Bologna,109,34.0
2019,5,2019-05-06,LIPE,Bologna,113,372.0
2019,5,2019-05-07,LIPE,Bologna,110,14.0
2019,5,2019-05-08,LIPE,Bologna,110,4.0
2019,5,2019-05-09,LIPE,Bologna,107,4.0
2019,5,2019-05-10,LIPE,Bologna,115,10.0
