YEAR,MONTH_NUM,FLT_DATE,APT_ICAO,APT_NAME,Departures_IFR,Arrivals_IFR,Total_IFR_Movements
2019,9,2019-09-26,LIPE,Bologna,118,119,237
2019,9,2019-09-27,LIPE,Bologna,123,125,248
2019,9,2019-09-28,LIPE,Bologna,118,109,227
2019,9,2019-09-29,LIPE,Bologna,114,117,231
2019,9,2019-09-30,LIPE,Bologna,119,119,238
2019,10,2019-10-01,LIPE,Bologna,109,108,217
2019,10,2019-10-02,LIPE,Bologna,114,109,223
2019,10,2019-10-03,LIPE,Bologna,102,103,205
2019,10,2019-10-04,LIPE,Bologna,114,116,230
2019,10,2019-10-05,LIPE,Bologna,101,98,199
2019,10,2019-10-06,LIPE,Bologna,107,109,216
2019,10,2019-10-07,LIPE,Bologna,115,111,226
2019,10,2019-10-08,LIPE,Bologna,104,106,210
2019,10,2019-10-09,LIPE,Bologna,108,110,218
2019,10,2019-10-10,LIPE,Bologna,101,102,203
2019,10,2019-10-11,LIPE,Bologna,113,118,231
2019,10,2019-10-12,LIPE,Bologna,105,98,203
2019,10,2019-10-13,LIPE,Bologna,108,111,219
2019,10,2019-10-14,LIPE,Bologna,115,115,230
2019,10,2019-10-15,LIPE,Bologna,111,105,216
2019,10,2019-10-16,LIPE,Bologna,110,109,219
2019,10,2019-10-17,LIPE,Bologna,105,106,211
2019,10,2019-10-18,LIPE,Bologna,111,112,223
2019,10,2019-10-19,LIPE,Bologna,105,100,205
2019,10,2019-10-20,LIPE,Bologna,104,110,214
2019,10,2019-10-21,LIPE,Bologna,110,109,219
2019,10,2019-10-22,LIPE,Bologna,106,106,212
2019,10,2019-10-23,LIPE,Bologna,111,106,217
2019,10,2019-10-24,LIPE,Bologna,105,109,214
2019,10,2019-10-25,LIPE,Bologna,82,84,166
2019,10,2019-10-26,LIPE,Bologna,99,98,197
2019,10,2019-10-27,LIPE,Bologna,99,99,198
2019,10,2019-10-28,LIPE,Bologna,118,112,230
2019,10,2019-10-29,LIPE,Bologna,104,106,210
2019,10,2019-10-30,LIPE,Bologna,97,94,191
2019,10,2019-10-31,LIPE,Bologna,102,103,205
2019,11,2019-11-01,LIPE,Bologna,99,99,198
2019,11,2019-11-02,LIPE,Bologna,85,85,170
2019,11,2019-11-03,LIPE,Bologna,96,103,199
